personUserName,department,team,company,status
javieralfred,Team Alpha,Team Alpha,Contoso,available
georginabarlow,Team Alpha,Team Alpha,Contoso,available
ursulabright,Team Alpha,Team Alpha,Contoso,available
vincentcalabrese,Team Alpha,Team Alpha,Contoso,available
marshallgaray,Team Alpha,Team Alpha,Contoso,available
clydeguess,Team Alpha,Team Alpha,Contoso,available
angelhuffman,Team Beta,Team Beta,Contoso,available
kristakemp,Team Beta,Team Beta,Contoso,available
scottketchum,Team Beta,Team Beta,Contoso,available
ronaldmundy,Team Beta,Team Beta,Contoso,available
laurelosborn,Team Beta,Team Beta,Contoso,available
sandyosborn,Team Gamma,Team Gamma,Contoso,available
keithpinckney,Team Gamma,Team Gamma,Contoso,available
genevievereeves,Team Gamma,Team Gamma,Contoso,available
jonirosales,Team Gamma,Team Gamma,Contoso,available
salliesampson,Team Gamma,Team Gamma,Contoso,available
elainestewart,Team Delta,Team Delta,Fabrikam,available
ryantheriault,Team Delta,Team Delta,Fabrikam,available
